Symbol,Units,EntryDate,EntryRank,CurrentPrice,MarketValue,Weight,DaysHeld,Sector,MCapCategory
NSE:ABSLAMC,319.6744213708463,2026-04-01,44.0,1014.5,324309.7004807236,0.02828484151231083,177,Financial Services,Small
NSE:ACUTAAS,105.15439632044924,2026-01-02,28.25,3283.699951171875,345295.48606296716,0.03011512786614248,266,Healthcare,Small
NSE:ANANDRATHI,186.9470085035068,2026-07-01,11.5,2126.800048828125,397598.90681353013,0.03467679828268716,86,Financial Services,Small
NSE:APARINDS,23.520243230234875,2026-03-02,11.25,17804.0,418754.4104711017,0.03652188668793852,207,Capital Goods,Mid
NSE:BHEL,895.8719766595143,2026-05-01,14.75,418.95001220703125,375325.57555744075,0.032734217954082,147,Capital Goods,Large
NSE:BSE,96.57736765031659,2026-05-01,27.25,3191.5,308226.6688559854,0.026882151429748095,147,Financial Services,Large
NSE:CEMPRO,285.49616979109686,2026-07-01,27.25,1257.199951171875,358925.7707211243,0.03130390032886002,86,Construction,Small
NSE:DATAPATTNS,82.47722610951153,2026-04-01,38.5,4395.5,362528.64736435795,0.03161812711483408,177,Capital Goods,Small
NSE:FEDERALBNK,1133.046610808488,2026-07-01,16.75,322.0,364841.0086803331,0.031819800926146564,86,Financial Services,Mid
NSE:FINCABLES,318.4455345383066,2026-06-01,46.0,1460.9000244140625,465217.0891815613,0.04057415370805771,116,Capital Goods,Small
NSE:GVT&D,74.89900240224885,2026-02-02,37.25,4280.0,320567.7302816251,0.027958483608528113,235,Capital Goods,Large
NSE:HFCL,1741.9267988597783,2026-05-01,2.0,211.27000427246094,368016.88223741954,0.03209678641283467,147,Telecommunication,Small
NSE:HSCL,549.2446268621574,2026-07-01,22.0,678.75,372799.79048268934,0.03251393027712504,86,Chemicals,Small
NSE:IDEA,25779.5528335118,2026-06-01,27.25,14.260000228881836,367616.42930634966,0.03206186069932175,116,Telecommunication,Large
NSE:J&KBANK,2400.1824790149576,2026-04-01,30.0,146.10000610351562,350666.67483363656,0.03058357892661305,177,Financial Services,Small
NSE:JBCHEPHARM,162.4280326605632,2026-03-02,51.5,2484.0,403471.23312883894,0.03518895631832678,207,Healthcare,Mid
NSE:LAURUSLABS,244.4408753809787,2026-06-01,7.0,2007.0,490592.83688962425,0.04278731292319999,116,Healthcare,Mid
NSE:LLOYDSME,205.22590285487476,2026-06-01,43.25,1821.9000244140625,373901.07742169435,0.03260997959813876,116,Metals & Mining,Mid
NSE:MAHABANK,4062.913732490382,2026-07-01,10.75,84.87999725341797,344860.10645465774,0.030077156004059816,86,Financial Services,Mid
NSE:NETWEB,81.7841893277737,2026-06-01,54.75,4545.0,371709.1404947315,0.032418808663405,116,Information Technology,Small
NSE:POLYCAB,37.35380880364673,2026-07-01,22.25,8366.5,312520.64135571034,0.02725665250521056,86,Capital Goods,Large
NSE:POWERINDIA,10.664349448032972,2026-04-01,20.25,30715.0,327555.4932963327,0.028567925043994333,177,Capital Goods,Large
NSE:RRKABEL,154.03815494049277,2026-06-01,8.0,2528.300048828125,389454.67465744214,0.033966494781333505,116,Capital Goods,Small
NSE:SCHNEIDER,269.0137461870747,2026-04-01,31.25,1209.5,325372.1260132668,0.028377501515271193,177,Capital Goods,Small
NSE:SONACOMS,598.3504573932464,2026-04-01,41.5,824.5,493339.95212073164,0.0430269040264348,177,Automobile and Auto Components,Mid
NSE:STARHEALTH,632.943929416124,2026-04-01,22.0,558.1500244140625,353277.66965634224,0.030811298216662727,177,Financial Services,Small
NSE:SYRMA,265.26173913310976,2026-05-01,7.0,1732.5999755859375,459592.4827459093,0.040083600692327005,147,Capital Goods,Small
NSE:TRITURBINE,542.6089300669469,2026-06-01,59.0,551.7999877929688,299411.60098729713,0.02611334063803719,116,Capital Goods,Small
NSE:VTL,585.6136078934823,2026-04-01,51.0,563.5999755859375,330051.81511155935,0.028785643067238003,177,Textiles,Small
NSE:WELCORP,243.62612960191888,2026-05-01,6.5,2832.39990234375,690046.6256928608,0.06018278027113023,147,Capital Goods,Mid
