SectorName,Weight
Financial Services,0.19748693661987432
Healthcare,0.1972522682988269
Automobile and Auto Components,0.14045318156465653
Capital Goods,0.10204180604339533
Information Technology,0.06779678024103857
Power,0.06561632153938972
Services,0.03336473528047655
Metals & Mining,0.033207049916013705
Fast Moving Consumer Goods,0.033204945662292484
Consumer Durables,0.03271966943696166
Realty,0.0325952261883856
Telecommunication,0.03254616447482336
Oil Gas & Consumable Fuels,0.03171491473386543
