Symbol,Units,EntryDate,EntryRank,CurrentPrice,MarketValue,Weight,DaysHeld,Sector,MCapCategory
NSE:ACUTAAS,95.75628211115013,2026-02-02,50.5,3425.699951171875,328032.2909525673,0.030430320188207585,231,Healthcare,Small
NSE:ADANIENSOL,227.6089677666405,2026-05-04,37.0,1397.5999755859375,318106.2877937972,0.029509522258731154,140,Power,Large
NSE:ADANIGREEN,227.486952949865,2026-06-01,52.25,1303.5999755859375,296551.98631156335,0.027510010888576512,112,Power,Large
NSE:ADANIPOWER,1516.986251967479,2026-05-04,32.25,206.5500030517578,313333.51497335744,0.029066770099515957,140,Power,Large
NSE:ANANDRATHI,170.23872622067563,2026-07-01,23.25,2211.199951171875,376431.86310672015,0.03492016621326276,82,Financial Services,Small
NSE:APARINDS,21.41813490340256,2026-04-01,23.75,18945.0,405766.5657449615,0.03764143609591775,173,Capital Goods,Mid
NSE:APOLLO,793.1215422524,2026-06-01,56.75,385.45001220703125,305708.70814284706,0.02835944548658871,112,Capital Goods,Small
NSE:ARVIND,581.2603083630603,2026-07-01,18.0,538.5499877929688,313037.7319734634,0.029039331424601158,82,Textiles,Small
NSE:ASTRAMICRO,191.35063138896686,2026-07-01,22.25,1657.9000244140625,317240.21645141445,0.02942918008211797,82,Capital Goods,Small
NSE:AVALON,187.02811023913344,2026-06-01,19.25,2485.89990234375,464933.16097899794,0.04313009830106069,112,Capital Goods,Small
NSE:BBOX,360.0509381408361,2026-06-01,14.25,831.3499755859375,299328.338633078,0.027767562637075506,112,Information Technology,Small
NSE:BHEL,815.8039295956625,2026-05-04,27.25,433.3999938964844,353569.4181074881,0.0327993032957992,140,Capital Goods,Large
NSE:BSE,87.9458204875601,2026-06-01,51.25,3161.0,277996.73856117745,0.025788710438013836,112,Financial Services,Large
NSE:CUPID,1764.9665515118647,2026-05-04,5.0,251.3000030517578,443536.09978118207,0.04114517351988919,140,Fast Moving Consumer Goods,Small
NSE:FEDERALBNK,1031.781216060873,2026-07-01,36.25,332.0,342551.36373220984,0.03177719988787806,82,Financial Services,Mid
NSE:GRWRHITECH,49.97880154358469,2026-07-01,29.75,6454.5,322588.1745630674,0.029925290014521707,82,Capital Goods,Small
NSE:HFCL,1586.2430845048,2026-06-01,3.0,214.11000061035156,339630.50779148866,0.03150624308285844,112,Telecommunication,Small
NSE:IDEA,23475.5199992052,2026-06-01,50.75,13.84000015258789,324901.2003710801,0.03013986070735509,112,Telecommunication,Large
NSE:LAURUSLABS,222.59411153050965,2026-06-01,13.75,2017.5,449083.62001280324,0.041659796078566506,112,Healthcare,Mid
NSE:MAHABANK,3699.793134430814,2026-07-01,22.75,82.19999694824219,304122.98435934033,0.028212343863385576,82,Financial Services,Mid
NSE:PARAS,261.82492871887945,2026-07-01,34.75,1406.5,368256.76224310393,0.03416179289541551,82,Capital Goods,Small
NSE:POWERINDIA,9.711229297211478,2026-04-01,39.75,31870.0,309496.87770212983,0.02871085970950393,173,Capital Goods,Large
NSE:RRKABEL,140.2710826793501,2026-06-01,14.5,2411.699951171875,338291.7632486146,0.03138205279362937,112,Capital Goods,Small
NSE:SANSERA,105.91782284238653,2026-02-02,24.75,4297.0,455128.8847537349,0.04222059252075467,231,Automobile and Auto Components,Small
NSE:SCHNEIDER,244.970796020417,2026-05-04,59.5,1235.199951171875,302587.9152829544,0.028069941286585003,140,Capital Goods,Small
NSE:SHILPAMED,577.3061566054885,2026-07-01,38.75,1070.800048828125,618179.4606819343,0.05734618036443499,82,Healthcare,Small
NSE:SYRMA,241.55412245740575,2026-07-01,13.5,1713.300048828125,413854.68980090815,0.03839174090289174,82,Capital Goods,Small
NSE:TDPOWERSYS,274.1306684153603,2026-03-02,52.0,747.2999877929688,204857.8451604771,0.019003890754770162,203,Capital Goods,Small
NSE:THANGAMAYL,52.686018948320225,2026-07-01,12.75,4930.5,259768.41642469287,0.02409773764537732,82,Consumer Durables,Small
NSE:WELCORP,221.8521831908635,2026-05-04,11.25,2762.699951171875,612911.0156687725,0.05685744656271405,140,Capital Goods,Mid
