Date,Drawdown
2026-01-02,0.0
2026-01-05,-0.002095797517575493
2026-01-06,-0.0008188923376275525
2026-01-07,-0.0036335886476452917
2026-01-08,-0.027531489288715072
2026-01-09,-0.034221285700055004
2026-01-12,-0.030699621878762517
2026-01-13,-0.027260330950622635
2026-01-14,-0.012114754841424769
2026-01-15,-0.012114754841424769
2026-01-16,-0.012777884048134291
2026-01-19,-0.02057728030484629
2026-01-20,-0.046838387885634436
2026-01-21,-0.05565551797415225
2026-01-22,-0.04790986967462951
2026-01-23,-0.061620179414031084
2026-01-27,-0.05252012512708426
2026-01-28,-0.027649215894707035
2026-01-29,-0.014705403271361939
2026-01-30,-0.03219840921219308
2026-02-02,-0.05899096910285628
2026-02-03,-0.03499817119614468
2026-02-04,-0.022074870355986764
2026-02-05,-0.03347656459554604
2026-02-06,-0.03165685870374979
2026-02-09,-0.007104994640767637
2026-02-10,-0.0009212194394738749
2026-02-11,0.0
2026-02-12,0.0
2026-02-13,-0.023630511929892517
2026-02-16,-0.01836071466125988
2026-02-17,-0.013395239753517973
2026-02-18,-0.0038665841469215367
2026-02-19,-0.017789492682593555
2026-02-20,-0.008255510029641089
2026-02-23,-0.005135726854299971
2026-02-24,-0.0008699625531266575
2026-02-25,0.0
2026-02-26,0.0
2026-02-27,-0.013174790530397051
2026-03-02,-0.024706222550730184
2026-03-04,-0.05721963829623955
2026-03-05,-0.03702464653973625
2026-03-06,-0.04520800155412652
2026-03-09,-0.0746286226709938
2026-03-10,-0.05145306437960462
2026-03-11,-0.0671445652199052
2026-03-12,-0.0723755419229486
2026-03-13,-0.10934042067818639
2026-03-16,-0.1100121541523178
2026-03-17,-0.0928051507813602
2026-03-18,-0.08430614170818529
2026-03-19,-0.11220990124180463
2026-03-20,-0.1019621605005091
2026-03-23,-0.14256894384176733
2026-03-24,-0.11757192631542257
2026-03-25,-0.09182654282948743
2026-03-27,-0.10653695633151672
2026-03-30,-0.12771110846615696
2026-04-01,-0.11055817865603335
2026-04-02,-0.11526451773809576
2026-04-06,-0.11094651889148877
2026-04-07,-0.11018008558959314
2026-04-08,-0.10082698992008521
2026-04-09,-0.09258785251515855
2026-04-10,-0.07967327452417061
2026-04-13,-0.07917084191303991
2026-04-15,-0.07213511087338575
2026-04-16,-0.07134016834979762
2026-04-17,-0.05858601725513368
2026-04-20,-0.06060271661143091
2026-04-21,-0.05856357988249672
2026-04-22,-0.049138585816420166
2026-04-23,-0.04465333276927563
2026-04-24,-0.04540632590995586
2026-04-27,-0.03679336680743639
2026-04-28,-0.028853112495137445
2026-04-29,-0.01966591515350835
2026-04-30,-0.022726050145813304
2026-05-01,-0.04543269142842388
2026-05-04,-0.03374983963627132
2026-05-05,-0.03215857166503755
2026-05-06,-0.037692145608266836
2026-05-07,-0.02463880993860701
2026-05-08,-0.03434087769191707
2026-05-11,-0.04932805412395014
2026-05-12,-0.07339209823540616
2026-05-13,-0.05890651681376713
2026-05-14,-0.05270764381824267
2026-05-15,-0.05645175616143383
2026-05-18,-0.05980532030741592
2026-05-19,-0.05850932978923162
2026-05-20,-0.0425222416931339
2026-05-21,-0.026642186819072156
2026-05-22,-0.03625394138050808
2026-05-25,-0.026421354377533568
2026-05-26,-0.019375050152994677
2026-05-27,-0.0073783934011464325
2026-05-28,-0.0073783934011464325
2026-05-29,-0.02191662357039681
2026-06-01,-0.044412994113910975
2026-06-02,-0.03433928772514727
2026-06-03,-0.03135273201694344
2026-06-04,-0.0248423625034343
2026-06-05,-0.02295735187960124
2026-06-08,-0.04965171619078301
2026-06-09,-0.04029209202276551
2026-06-10,-0.060965875432421934
2026-06-11,-0.06814130992698686
2026-06-12,-0.03995782573135065
2026-06-15,-0.026199758147733676
2026-06-16,-0.031947189823621436
2026-06-17,-0.02345460017080636
2026-06-18,-0.011230706591249473
2026-06-19,0.0
2026-06-22,0.0
2026-06-23,-0.00662622134376023
2026-06-24,-0.018115046333879503
2026-06-25,-0.020276553884953308
2026-06-26,-0.020276553884953308
2026-06-29,-0.005694443211327838
2026-06-30,-0.008009601915886067
2026-07-01,-0.012976396674813984
2026-07-02,-0.002955492146334837
2026-07-03,-0.013250241374578198
2026-07-06,-0.003081876640919745
2026-07-07,-0.020483147643829747
2026-07-08,-0.030029385732204594
2026-07-09,-0.01736171542399889
2026-07-10,-0.009020795759720146
2026-07-13,-0.015315277853791387
2026-07-14,-0.015087380826555363
2026-07-15,-0.010095172466248137
2026-07-16,-0.012509294161231588
2026-07-17,-0.02604285957255814
2026-07-20,-0.017260158594285757
2026-07-21,-0.008117100833619495
